target,total_checks,up_count,down_count,uptime_pct,avg_latency_ms,max_latency_ms
10.255.255.1,4,0,4,0.0,,
1.1.1.1,39,39,0,100.0,10.4,16.91
8.8.8.8,39,39,0,100.0,17.86,34.67
github.com,39,39,0,100.0,20.54,30.99
google.com,39,39,0,100.0,12.71,22.12
